conc,anesthetic,dog
0.3,Isoflurane,1
0.53,Isoflurane,2
1.02,Isoflurane,3
0.41,Isoflurane,4
0.31,Isoflurane,5
0.38,Isoflurane,6
0.34,Isoflurane,7
0.71,Isoflurane,8
0.19,Isoflurane,9
0.35,Isoflurane,10
0.32,Halothane,1
0.41,Halothane,2
0.65,Halothane,3
0.4,Halothane,4
0.23,Halothane,5
0.9,Halothane,6
0.41,Halothane,7
0.53,Halothane,8
0.34,Halothane,9
0.44,Halothane,10
1.09,Cyclopropane,1
1.37,Cyclopropane,2
0.71,Cyclopropane,3
0.3,Cyclopropane,4
1.26,Cyclopropane,5
1.55,Cyclopropane,6
0.51,Cyclopropane,7
0.58,Cyclopropane,8
1.04,Cyclopropane,9
0.32,Cyclopropane,10
